State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Location
Wisconsin,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,39.4,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Wisconsin
(44.639954, -89.732969)"
Utah,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,CHIP only,NR,NR,39,81.6,75.6,87.4,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2017,Medicaid only,Administrative,48.6,27,39.8,17.8,53.9,,Medicaid rate includes FFS and managed care populations (4 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Hybrid,80.5,50,66.7,58.2,76.1,,"Rate includes managed care population (2 MCOs), representing 93 percent of the population. Rate excludes FFS population, representing 7 percent of the population. Denominator is the sample size; measure-eligible population is 20,355.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
Oregon,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,82.1,44,47.8,39.7,64,,"Rates include managed care population (16 CCOs), representing 86 percent of the population. Rates exclude FFS population, representing 14 percent of the population. Rates include additional procedure codes for follow-up visits (90846, H0006, H2021, T1016), which reflect coordinated care integrating physical and mental health services. Denominator excludes discharges followed by direct transfer to adult mental health residential services, using procedure code T1020 with modifier HK, HE, or TG. State attributes performance improvement from FFY 2016 to coordinated care efforts.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oregon
(43.940449, -120.605279)"
Utah,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid only,Administrative & Hybrid,24.2,42,20.8,13.3,24.8,,"Medicaid rates include managed care population (4 MCOs), representing 85 percent of the population. Rates exclude FFS population, representing 15 percent of the population. Rates were derived using both administrative and hybrid method data. Two MCOs used the administrative method and two MCOs used the hybrid method. Denominator is the measure-eligible population. MCO rates were audited by certified HEDIS auditors. State attributes rate increases from FFY 2016 to an updated school immunization requirement that includes the Meningococcal vaccine, an adolescent immunization reward program by one MCO, and improved data collection methods.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Washington,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,Medicaid & CHIP,Administrative,73.2,43,73.2,56.9,83,,"Rates include FFS, PCCM, and managed care populations (5 MCOs). State matched Medicaid records with its immunization data to better capture immunization history. State included age-inappropriate or conjugate vaccines for vaccination type of interest when they occurred in immunization data, although these vaccines were not in the specifications.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
Pennsylvania,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,89.1,48,87.4,84.9,90.3,,Rates include managed care population (19 MCOs). Data were submitted by MCOs and compiled by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,Medicaid & CHIP,Administrative,49.9,49,59.3,55.7,66.1,,Rate includes FFS and managed care populations (5 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Carolina
(33.878572, -80.864614)"
Virginia,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,Medicaid & CHIP,Administrative & Hybrid,58.2,37,61.1,28.8,74.5,,Rate includes managed care population (6 MCOs). Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and five MCOs used the hybrid method. State obtained state-level rates from the NCQA Quality Compass and denominator is not available.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Virginia
(37.510861, -78.666382)"
Vermont,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,91.4,48,87.4,84.9,90.3,,Rates include FFS population. Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Vermont
(44.075252, -72.662695)"
Utah,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid only,Administrative,75.4,45,69.2,62.5,79.6,,"Medicaid rates include mental health plan population (6 MCOs) age 6 and older, representing 86 percent of the population. Rates exclude enrollees in 5 MCOs that were excluded due to unreliable data, representing 14 percent of the population. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Wisconsin,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,Medicaid & CHIP,Hybrid,68.2,43,73.2,56.9,83,,"Rate includes managed care population (18 MCOs), representing 75 percent of the population. Rate excludes FFS population, representing 25 percent of the population. State is not able to report the HPV rate for FFY 2017. Denominator is the sample size; measure-eligible population is not available. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wisconsin
(44.639954, -89.732969)"
West Virginia,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,Medicaid only,Hybrid,80.6,34,61.7,43.5,67,,"Rate includes managed care population (4 MCOs), representing 82 percent of the population. Rate excludes FFS population, representing 18 percent of the population. Denominator is the sample size; measure-eligible population is 8,456. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,CHIP only,Administrative,18.4,42,20.8,13.3,24.8,,"CHIP rates include FFS population. State reported data quality concerns resulting from a transition in its claims processing system, which resulted in a decrease in claims records for six months of the measurement period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
South Dakota,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Administrative,31.7,49,44.7,37.9,55.7,,"Rate includes FFS population. Rate excludes services provided by Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Dakota
(44.43614, -100.230491)"
West Virginia,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,CHIP only,Administrative,4.7,37,2.7,3.6,1.6,,"CHIP rate includes FFS population. State reported data quality concerns resulting from a transition in its claims processing system, which resulted in a decrease in claims records for six months of the measurement period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2017,CHIP only,Hybrid,74.2,41,67.9,54.6,72.8,,CHIP rate includes the CHIP Health Plan Administrators and Medical Benefits Managers population. Denominator is the sample size; measure-eligible population is 689. Rate was validated by the state's EQRO. State attributes the rate increase from FFY 2016 to an increased focus on immunizations in the CHIP pay-for-performance program.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Utah,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2017,CHIP only,Administrative,35.2,37,50,42.1,55.3,,CHIP rate includes managed care population (2 MCOs). State did not report Continuation and Maintenance rate for FFY 2017 due to a small denominator. MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,80.2,48,87.4,84.9,90.3,,Rates include FFS and managed care populations (5 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Carolina
(33.878572, -80.864614)"
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid & CHIP,Administrative,95.7,48,90.8,87.6,93.6,,"Rates include managed care population (2 MCOs), representing 93 percent of the population. Rates exclude FFS population, representing 7 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
Utah,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,CHIP only,Administrative,87.8,48,87.4,84.9,90.3,,CHIP rates include managed care population (2 MCOs). MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Utah,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,CHIP only,Hybrid,75.5,37,61.1,28.8,74.5,,"CHIP rate includes managed care population (2 MCOs). Denominator is the sample size; measure-eligible population is 7,886. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,CHIP only,Hybrid,75.2,49,59.3,55.7,66.1,,"CHIP rate includes the CHIP Health Plan Administrators and Medical Benefits Managers population. Denominator is the sample size, which is equivalent to the measure-eligible population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Texas,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,Medicaid only,Administrative,76.5,43,73.2,56.9,83,,Medicaid rates include FFS and managed care populations (24 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
Tennessee,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid only,Administrative,71.3,45,69.2,62.5,79.6,,Medicaid rates include managed care population (4 MCOs) age 6 and older. Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2017,CHIP only,Administrative,49.3,37,50,42.1,55.3,,"CHIP rates include FFS population. State reported data quality concerns resulting from a transition in its claims processing system, which resulted in a decrease in claims records for six months of the measurement period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Tennessee,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,46.8,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Wyoming,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,CHIP only,NR,NR,48,95.2,93.3,96.6,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wyoming
(42.999627, -107.55145)"
Virginia,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,44.8,46,49.4,44.1,58.5,,Rate includes managed care population (6 MCOs). State obtained rate from the NCQA Quality Compass and denominator is not available.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Virginia
(37.510861, -78.666382)"
Vermont,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Administrative,74.0,50,66.7,58.2,76.1,,Rate includes FFS population. Rate was validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Vermont
(44.075252, -72.662695)"
Utah,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,CHIP only,Administrative,34.2,40,27.9,24.5,33,,CHIP rates include managed care population (2 MCOs). Total rate includes children ages 5 to 18. MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Wyoming,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,49.0,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Wyoming
(42.999627, -107.55145)"
Washington,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,Medicaid & CHIP,Administrative,39.3,47,42.3,51.1,39.1,,"Rate includes FFS, PCCM, and managed care populations (5 MCOs).","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
Tennessee,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid only,Hybrid,76.9,39,81.6,75.6,87.4,,"Medicaid rate includes managed care population (4 MCOs). Denominator is the sample size; measure-eligible population is 36,706. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Utah,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,CHIP only,Administrative,86.4,48,90.8,87.6,93.6,,CHIP rates include managed care population (2 MCOs). MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
South Carolina,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid & CHIP,Administrative,63.5,37,61.5,55,65.4,,Rates include FFS and managed care populations (5 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Carolina
(33.878572, -80.864614)"
Texas,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,CHIP only,Administrative,0.6,37,2.7,3.6,1.6,,CHIP rate includes managed care population (17 MCOs). Rate was validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
Pennsylvania,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid only,Hybrid,88.1,39,81.6,75.6,87.4,,"Rate includes Medicaid managed care population (9 MCOs). Denominator is the sample size; measure-eligible population is 43,452. Data were submitted by MCOs and compiled by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
Texas,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2017,Medicaid only,Administrative,35.9,37,50,42.1,55.3,,Medicaid rates include FFS and managed care populations (24 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,CHIP only,Administrative,81.7,50,66.7,58.2,76.1,,"CHIP rate includes FFS population. State reported data quality concerns resulting from a transition in its claims processing system, which resulted in a decrease in claims records for six months of the measurement period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Utah,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,CHIP only,Administrative & Hybrid,66.3,50,66.7,58.2,76.1,,CHIP rate includes managed care population (2 MCOs). Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and one MCO used the hybrid method. Denominator is the measure-eligible population. MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Utah,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,CHIP only,Administrative,38.6,44,47.8,39.7,64,,CHIP rates include managed care population (2 MCOs). MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Tennessee,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid only,Administrative,59.5,37,61.5,55,65.4,,Medicaid rates include managed care population (4 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid only,Administrative,91.2,48,87.4,84.9,90.3,,Medicaid rates include FFS and managed care populations (4 MCOs). Rates include paid claims only.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid only,Administrative,24.7,39,27.3,24.3,33,,Medicaid rates include managed care population (4 MCOs). Total rate includes children ages 5 to 18. Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Wyoming,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,Medicaid only,Administrative,96.7,48,95.2,93.3,96.6,,Rates include FFS population.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wyoming
(42.999627, -107.55145)"
Texas,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,CHIP only,Administrative,37.8,46,49.4,44.1,58.5,,CHIP rate includes managed care population (17 MCOs). Rate was validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,CHIP only,Administrative,94.9,48,95.2,93.3,96.6,,CHIP rates include the CHIP Health Plan Administrators and Medical Benefits Managers population. Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Pennsylvania,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Administrative & Hybrid,78.0,50,66.7,58.2,76.1,,Rate includes managed care population (19 MCOs). Rate was derived using both administrative and hybrid method data. Three MCO used the administrative method and sixteen MCOs used the hybrid method. Denominator is the measure-eligible population. Data were submitted by MCOs and compiled by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2017,Medicaid & CHIP,Hybrid,76.0,41,67.9,54.6,72.8,,"Rate includes managed care population (2 MCOs), representing 93 percent of the population. Rate excludes FFS population, representing 7 percent of the population. Denominator is the sample size; measure-eligible population is 5,295. State has identified this measure as a quality improvement topic.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
West Virginia,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,CHIP only,NR,NR,34,61.7,43.5,67,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
